expid_x,peakid,highpoint,death,mhighpt,mo2none,mo2used,msuccess,psummiters
EVER10303,EVER,8700,False,False,True,False,False,"Edmund Hillary, Tenzing Norgay Sherpa"
LHOT10301,LHOT,8516,False,True,True,False,False,"Fritz Luchsinger, Ernst Reiss"
LHOT10302,LHOT,8516,False,False,True,False,False,"Fritz Luchsinger, Ernst Reiss"
LHOT10302,LHOT,8516,False,True,True,False,False,"Fritz Luchsinger, Ernst Reiss"
LHOT10303,LHOT,8516,False,False,True,False,False,"Fritz Luchsinger, Ernst Reiss"
LHOT10303,LHOT,8516,False,True,True,False,False,"Fritz Luchsinger, Ernst Reiss"
MANA10312,MANA,5400,False,True,False,True,True,"Toshio Imanishi, Gyaltsen Norbu Sherpa"
MANA10312,MANA,5400,False,False,False,True,False,"Toshio Imanishi, Gyaltsen Norbu Sherpa"
MANA10313,MANA,5400,False,True,False,True,True,"Toshio Imanishi, Gyaltsen Norbu Sherpa"
MANA10314,MANA,5400,False,True,True,False,False,"Toshio Imanishi, Gyaltsen Norbu Sherpa"
MANA10315,MANA,5400,False,True,False,True,True,"Toshio Imanishi, Gyaltsen Norbu Sherpa"
MANA10315,MANA,5400,False,False,True,False,False,"Toshio Imanishi, Gyaltsen Norbu Sherpa"
MANA10316,MANA,5400,False,True,True,False,False,"Toshio Imanishi, Gyaltsen Norbu Sherpa"
MANA10316,MANA,5400,False,False,True,False,False,"Toshio Imanishi, Gyaltsen Norbu Sherpa"
MANA10317,MANA,5400,False,True,True,False,True,"Toshio Imanishi, Gyaltsen Norbu Sherpa"
MANA10318,MANA,5400,False,True,True,False,False,"Toshio Imanishi, Gyaltsen Norbu Sherpa"
MANA10319,MANA,5400,False,False,True,False,False,"Toshio Imanishi, Gyaltsen Norbu Sherpa"
MANA10319,MANA,5400,False,True,False,True,True,"Toshio Imanishi, Gyaltsen Norbu Sherpa"
MANA10319,MANA,5400,True,False,True,False,False,"Toshio Imanishi, Gyaltsen Norbu Sherpa"
MANA10319,MANA,5400,False,True,True,False,True,"Toshio Imanishi, Gyaltsen Norbu Sherpa"
MANA10320,MANA,5400,False,True,True,False,False,"Toshio Imanishi, Gyaltsen Norbu Sherpa"
